;LISTA DE PRECIOS (JUNIO - 26);;;
YT05609;YATO;"LLAVE TORX EN ""T"" T40"; $4.490 ;
YT05611;YATO;"LLAVE TORX EN ""T"" T50"; $6.990 ;
YT58832;YATO;Juego de llaves torx de seguridad tipo navaja. 9 piezas. T9, T10, T15, T20, T25, T27, T30, T40; $12.590 ;
20742;KENDO;Set llaves Torx de seguridad largas., 9 pzas. T10, T15, T20, T25, T27, T30, T40, T45, T50.; $11.500 ;
YT0511;YATO;Set llaves Torx de seguridad largas., 9 pzas.  T10, T15, T20, T25, T27, T30, T40, T45, T50.; $12.990 ;
YT0512;YATO;Set llaves Torx de seguridad extra largas., 9 pzas. T10, T15, T20, T25, T27, T30, T40, T45, T50.; $14.990 ;
YT05583;YATO;Juego de llaves allen en T de 8 piezas. 2.5, 3, 4, 5, 6, 7, 8 y 10 mm. con mango.; $31.490 ;
YT05597;YATO;Juego de llaves allen en T con bola de 8 piezas. 2.5, 3, 4, 5, 6, 7, 8 y 10 mm. con mango.; $31.490 ;
YT05615;YATO;Juego de llaves torx de seguridad en T de 9 piezas. T10,T15,T20,T25,T27,T30,T40,T45 y T50 con mango.; $34.990 ;
2150031;JTC AUTO TOOLS;DESTORNILLADOR DADO FLEXIBLE 6 MM; $12.990 ;
2150032;JTC AUTO TOOLS;DESTORNILLADOR DADO FLEXIBLE 8 MM; $12.990 ;
2150033;JTC AUTO TOOLS;DESTORNILLADOR DADO FLEXIBLE 10 MM; $12.990 ;
332306;JTC AUTO TOOLS;DESTORNILLADOR DADO 6 MM; $10.990 ;
332308;JTC AUTO TOOLS;DESTORNILLADOR DADO 8 MM; $10.990 ;
332310;JTC AUTO TOOLS;DESTORNILLADOR DADO 10 MM; $13.990 ;
332311;JTC AUTO TOOLS;DESTORNILLADOR DADO 11 MM; $15.990 ;
332312;JTC AUTO TOOLS;DESTORNILLADOR DADO 12 MM; $15.990 ;
332313;JTC AUTO TOOLS;DESTORNILLADOR DADO 13 MM; $16.490 ;
205441;TACTIX;JUEGO ATORNILLADORES TACTIX PERILLEROS #205441 -JGO. 2 PIEZAS; $5.990 ;
YT25998;YATO;Juego de destornilladores para golpe paleta y cruz; $9.990 ;
YT2783;YATO;Jgo. Destornilladores paleta y cruz, 6pzas.    ; $12.490 ;
205402;TACTIX;Jgo. Destornilladores de paleta, 6pzas.  Paleta: 3 x 75mm., 6,5 x 38mm, 5 x 50mm, 5,5 x 100mm, 6,5 x 100mm, 6,5 x 125mm; $16.900 ;
HSGTDC180601;INGCO;Jgo. Destornilladores para golpe de paleta y cruz, 6pzas. Con torque Cruz  PH1 x 75, PH2 x 100, PH3 x 150 Paleta  5,5 x 75, 6,5 x 100, 8 x 150; $14.990 ;
DEG604;UYUSA;"Juego Destornillador para Golpe 6 Pzas

(3 de paleta y 3 de cruz)

(-): 6 mm x 3” / 6 mm x 4” / 8 mm x 6”

(+): PH 3 x 6 “ /PH 2 x 4” / PH 1 x 3”"; $14.990 ;
DEG12SU;UYUSA;"Juego de 12 Destornilladores de golpe para trabajo pesado, especiales para golpear y realizar trabajos que requieren gran resistencia, punta imantada.
Incluye 12 piezas:
*6 Destornilladores de paleta
6mmX1.5"" - 3mmX3"" - 5mmX3"" - 6mmX4"" - 8mmX6"" - 9mmX8""
*6 Destornilladores de cruz
PH2X1.5"" - PH0X3"" - PH1X3"" - PH2X4"" - PH3X6"" - PH3X8"""; $24.990 ;
YT2782;YATO;Jgo. Destornilladores paleta y cruz, 8 pzas.   ; $19.990 ;
YT25966;YATO;Jgo. Destornilladores paleta y cruz, 8 pzas.   ; $21.990 ;
YT2787;YATO;Juego destornilladores cruz / paleta 12 Pzas.; $25.990 ;
HKSD1828;INGCO;Juego de 18 destornilladores: 8 de paleta y cruz + juego de 10 destornilladores de precisión paleta, cruz y torx.   ; $26.900 ;
YT25982;YATO;Jgo. Destornilladores paleta, cruz y torx, 18 pzas.   ; $39.990 ;
B219/40DISP;BAHCO;Display con 40 destornilladores Bahco Fit; $99.900 ;
VT13147B;TOMATEC;"Juego de destornilladores Allen con punta de bola 6 Piezas

Ideales para trabajar en angulo, en espacio reducidos. 

H3.0x75mm, H4.0x80mm, H5.0x100mm, H6x100mm, H7.0x125mm, H8.0x150mm."; $17.990 ;
85137;KENDO;JUEGO DESTORNILLADORES TORX JGO. 6 PZAS. T8 x 75mm, T9 x 75mm, T10 x 100mm, T15 x 100mm, T25 x 100mm, T25 x 125mm, T27 x 125mm; $15.990 ;
205405;TACTIX;JUEGO DESTORNILLADORES TORX JGO. 6 PZAS. T-10, T-15, T-20, T-25, T-27, T-30; $16.990 ;
478-4-2;IRIMO;"DESTORNILLADOR DE PRECISIÓN TIPO BOLIGRAFO DE BOLSILLO 120MM, 4 PUNTAS ( - ; + )
Para tornillos ranurados y Phillips.
Cada bolígrafo contiene 2 puntas de dos bocas: PH0/3 mm y PH1/4 mm.
Acabado satinado y puntas tratadas.
Tamaño de bolígrafo y clip que facilitan el transporte."; $2.490 ;
HKSD0718;INGCO;Juego de destornilladores de precisión 7piezas. Incluye SL2.0 * 50, SL2.5 * 50, SL3.0 * 50, PH00 * 50, PH0 * 50, T6 * 50, T8 * 50 Material CR-V Mango ergonómico y cómodo. Embalado por caja de plástico; $8.990 ;
HKSD0818;INGCO;"Set de 8 destornilladores de precisión SL/PH/T.
Punta planas: SL2.0x50, SL2.5x50, SL3.0x50.
Punta cruz: PH00x50, PH000x50, PH0x50.
Punta torx: T6x50, T8x50.
Mango de agarre cómodo."; $8.990 ;
YT25863;YATO;"Juego de 7 destornilladores de precisión. La punta magnética endurecida facilita el trabajo con tornillos pequeños. Acero S2, dureza 57-61 HRC.El mango está fabricado en tecnología de tres componentes, terminado con una capa giratoria que facilita y agiliza el atornillado. Contiene destornilladores de paleta 2; 3; destornilladores de cruz PH00; PH0; destornilladores torx T5, T6, T7"; $17.790 ;
YT2575;YATO;Juego de destornilladores de precisión Yato. 6 unidades. Magnéticos. Largos. Paleta y cruz.; $9.190 ;
461-6-B;IRIMO;"JUEGO DE DESTORNILLADORES DE PRECISIÓN 6 PIEZAS. Juego destornilladores de precisión, 6 piezas Varillas de acero cromo-vanadio. Acabado cromado con punta negra para mayor precisión. Cabeza giratoria. Sistema de deslizamiento de la caja para abrir y cerrar. Medidas incluidas:
4 planos: 1.6-2.0-5.5-3.0 mm
2 Phillips: PH00-PH0
Largo Puntas: 50 mm
Largo Total: 150 mm
Peso: 380 gr"; $9.990 ;
YT25760;YATO;"Set de 61 piezas para el mantenimiento de teléfonos móviles, smartphones, tablets, navegación y reparación de relojes y gafas.

Composición del conjunto:
1 x adaptador 1/4"";
1 mango de aluminio;
1 extensión;
1 extensión flexible;
56 puntas;
1 x manija de plástico para abrir/cerrar."; $19.990 ;
420-3-1;IRIMO;"JUEGO 3 DESTORNILLADORES EN Z CON DOBLE PUNTA PL, PH, en milímetro. Contenido: Boca plana (5.0; 6.0; 8.0); Boca PH (PH1, PH2, PH3)."; $8.490 ;
20143;KENDO;DESTORNILLADOR PERILLERO PALETA 6 X 38 MM; $2.990 ;
20145;KENDO;DESTORNILLADOR PERILLERO PHILLIPS 2 X 38 MM; $2.990 ;
205441;TACTIX;JUEGO ATORNILLADORES TACTIX PERILLEROS #205441 -JGO. 2 PIEZAS; $5.990 ;
YT25899;YATO;Destornillador paleta 5,0 x 38mm.; $2.290 ;
YT25904;YATO;Destornillador paleta 4,0 x 100mm.; $2.290 ;
YT25896;YATO;Destornillador paleta 6,0 x 300mm.; $4.790 ;
YT25917;YATO;Destornillador paleta 8,0 x 300mm.; $7.890 ;
YT2760;YATO;Destornillador paleta 3,0 x 75mm.; $1.890 ;
YT2761;YATO;Destornillador paleta 3,0 x 100mm.; $1.990 ;
YT2676;YATO;Destornillador paleta 4,0 x 100mm.; $2.090 ;
YT2763;YATO;Destornillador paleta 5,0 x 100mm.; $2.490 ;
YT2766;YATO;Destornillador paleta 6,0 x 100mm.; $2.990 ;
YT2724;YATO;Destornillador paleta 8,0 x 300mm.; $4.990 ;
60955;VOREL;Destornillador paleta 5,0 x 150mm.; $2.990 ;
46-141;CROSSMAN;"Destornillador paleta barra hexagonal antideslizante 3/8"" X 8"" (10mm x 200 mmL)"; $11.500 ;
46-152;CROSSMAN;"Destornillador paleta barra hexagonal antideslizante 3/8"" X 12"" (12mm x 300 mmL)"; $13.500 ;
YT2699;YATO;Destornillador paleta barra hexagonal de golpe 6 x 100mm.; $4.890 ;
YT2700;YATO;Destornillador paleta barra hexagonal de golpe 6 x 150mm.; $5.190 ;
YT2701;YATO;Destornillador paleta barra hexagonal de golpe 6 x 200mm.; $5.390 ;
YT2702;YATO;Destornillador paleta barra hexagonal de golpe 6 x 250mm.; $5.590 ;
YT2703;YATO;Destornillador paleta barra hexagonal de golpe 8 x 150mm.; $6.190 ;
YT2704;YATO;Destornillador paleta barra hexagonal de golpe 8 x 200mm.; $6.890 ;
YT2705;YATO;Destornillador paleta barra hexagonal de golpe 8 x 250mm.; $7.590 ;
YT25985;YATO;Destornillador paleta de golpe 6 x 100mm.; $5.090 ;
YT25986;YATO;Destornillador paleta de golpe 6 x 150mm.; $5.190 ;
YT25989;YATO;Destornillador paleta de golpe 8 x 150mm.; $6.190 ;
YT25992;YATO;Destornillador paleta de golpe 8 x 300mm.; $8.090 ;
YT2708;YATO;Destornillador cruz barra hexagonal de golpe PH2 x 100mm.; $4.990 ;
YT2709;YATO;Destornillador cruz barra hexagonal de golpe PH2 x 150mm.; $5.190 ;
YT2710;YATO;Destornillador cruz barra hexagonal de golpe PH3 x 150mm.; $6.190 ;
YT2711;YATO;Destornillador cruz barra hexagonal de golpe PH3 x 200mm.; $6.490 ;
YT2712;YATO;Destornillador cruz barra hexagonal de golpe PH3 x 250mm.; $6.990 ;
YT25993;YATO;Destornillador cruz barra hexagonal de golpe PH2 x 100mm.; $3.990 ;
YT25994;YATO;Destornillador cruz barra hexagonal de golpe PH2 x 150mm.; $4.990 ;
YT25996;YATO;Destornillador cruz barra hexagonal de golpe PH3 x 200mm.; $6.490 ;
YT25997;YATO;Destornillador cruz barra hexagonal de golpe PH3 x 250mm.; $6.990 ;
44315-021;TRAMONTINA PRO;"Destornillador Aislado IEC 60900 Punta Paleta 5x100 mm.
Asta en acero cromo vanadio templada.
Punta fosfatada.
Mango con doble inyección.
Aislamiento eléctrico de 1.000 V CA.
Producto en conformidad con la IEC 60900. 
Punta chata.
Indicadas para trabajos en baja tensión, hasta 1.000 V en corriente alternada y 1.500 V en corriente continua."; $4.900 ;
YT25920;YATO;Destornillador cruz PH 0 x 75 mm; $2.290 ;
YT25937;YATO;Destornillador cruz PH 0 x 200 mm; $2.490 ;
YT25923;YATO;Destornillador cruz PH 1 x 75 mm; $2.490 ;
YT25938;YATO;Destornillador cruz PH 1 x 250 mm; $3.990 ;
YT25928;YATO;Destornillador cruz PH 2 x 38 mm; $2.290 ;
YT25929;YATO;Destornillador cruz PH 2 x 100 mm; $2.990 ;
YT25939;YATO;Destornillador cruz PH 2 x 250 mm; $4.290 ;
YT2770;YATO;Destornillador cruz PH 0 x 75 mm; $2.190 ;
YT2772;YATO;Destornillador cruz PH 1 x 75 mm; $2.490 ;
YT2775;YATO;Destornillador cruz PH 2 x 38 mm; $2.490 ;
YT2776;YATO;Destornillador cruz PH 2 x 100 mm; $2.990 ;
YT2778;YATO;Destornillador cruz PH 2 x 200 mm; $3.290 ;
157045;KRAFT BOHRER;Destornillador cruz PH 0 x 75 mm; $1.990 ;
YT2625;YATO;DESTORNILLADOR TORX DE SEGURIDAD T10 - YATO                    ; $2.490 ;
YT2626;YATO;DESTORNILLADOR TORX DE SEGURIDAD T15 - YATO                    ; $2.490 ;
YT2627;YATO;DESTORNILLADOR TORX DE SEGURIDAD T20 - YATO                    ; $2.490 ;
YT2629;YATO;DESTORNILLADOR TORX DE SEGURIDAD T27 - YATO                    ; $2.990 ;
YT2631;YATO;DESTORNILLADOR TORX DE SEGURIDAD T40 - YATO                    ; $4.990 ;
YT25956;YATO;DESTORNILLADOR TORX DE SEGURIDAD T15 - YATO                    ; $2.490 ;
YT25958;YATO;DESTORNILLADOR TORX DE SEGURIDAD T25 - YATO                    ; $4.990 ;
YT25960;YATO;DESTORNILLADOR TORX DE SEGURIDAD T30 - YATO                    ; $4.990 ;
YT2756;YATO;DESTORNILLADOR TORX DE SEGURIDAD T40 - YATO                    ; $4.990 ;
YTSQ1X100;YATO;DESTORNILLADOR DE PUNTA CUADRADA SQ N°1 X 100MM; $2.890 ;
YTSQ2X100;YATO;DESTORNILLADOR DE PUNTA CUADRADA SQ N°2 X 100MM; $3.590 ;
YT2780;YATO;Juedo de destornillador flexible con dado y puntas, 31 pzas.; $15.990 ;
YT2804;YATO;Juedo de destornillador  con dado y puntas, 14 pzas.; $11.990 ;
HKISD1008;INGCO;"Juego de destornilladores 1000v aislados. Intercambiables 10 piezas. Es un conjunto de 8 destornilladores con aislamiento de 1000V, mango intercambiable y buscapolo, todo en un estuche rígido de plástico.

El conjunto incluye:
- 3 vástagos destornilladores PH0 - PH1 - PH2 x 110mm
- 5 vástagos destornilladores Planos SL2,5 - SL3 - SL4 - SL5 - SL6 x 110mm
- 1 mango aislado redondo 1000V
- 1 buscapolo 140mm tester 100-500VAC
- 1 estuche rígido de plástico"; $18.990 ;
YT2828;YATO;Set de destornilladores aislados para 1000V. Incluye 7 piezas. Paleta, cruz y pozidriv. PH1, PZ1, PH2, PZ2, SL 3, SL 4, SL 5,5; $24.990 ;
800IEC/5-RN;BAHCO;"JUEGO DE DESTORNILLADORES AISLADOS PUNTAS PLANAS Y PHILLIPS 1.000V 5 PZS. Las medidas que trae este juego son:
Destornilladores  punta plana:
– 4 X 125
– 5,5 X 125
– 6.5 X 150
Destornilladores punta Phillips:
– PH1 X 100
– Ph2 X 150"; $17.990 ;
800IEC/7-RN;BAHCO;"Set Destornilladores Bahco Aislados 1000volts 7 Pzas es un conjunto de alta calidad y resistencia. Ideal para trabajos que requieran de precisión y seguridad, ya que están aislados hasta 1000 volts.

Los tamaños de los destornilladores planos son 3x100 ; 4x125 ; 5.5x125 ; 6.5x150mm. Los destornilladores Phillips, los tamaños son PH0X75 ; PH1X150 ; PH2X175mm."; $21.990 ;
YT0590;YATO;Set extractor de Pernos ( Cola de Chancho ) 6 pzas. 3-6, 6-8, 8-11, 11-14, 14-18, 18-25 mm; $5.990 ;
545263;TACTIX;"LUPA DE BOLSILLO PLEGABLE

- 4 Aumentos
- Lente de vidrio
- Funda abatible protectora para la lente y sirve como asa."; $3.490 ;
YT0660;YATO;Espejo telescópico 50X90 mm, largo 285-770 mmL  ; $7.990 ;
YT0662;YATO;Set de espejo e imanes telescópicos. 4 piezas.; $21.990 ;
75309;KENDO;ESPEJO REDONDO DE INSPECCION CON LUZ LED Y MANGO ARTICULADO; $12.490 ;
YT0661;YATO;Imán telescópico 2 Kg. Largo 250 - 750 mmL; $9.990 ;
YT06611;YATO;"Pinza magnética está montada sobre un brazo telescópico de chapa de acero de 0,6 mm de espesor.
La pluma está protegida con un revestimiento anticorrosión, tiene un mango ergonómico de plástico blando. La longitud del brazo telescópico de 250 a 750 mm.
La pinza tiene un fuerte imán de neodimio que le permite levantar un objeto que pesa 2 kg.
El mango está cubierto con una cómoda espuma, con una forma que mejora significativamente la comodidad y la calidad del trabajo. La herramienta también está equipada con iluminación LED, lo que le permite llegar a lugares no solo de difícil acceso, sino también con poca iluminación."; $9.990 ;
YT1385;YATO;"Imán flexible. Longitud de trabajo 400 mmL. Material del mango: PP, POS.
Tipo: flexible.
Capacidad de carga: 1 kg."; $24.990 ;
545269;TACTIX;"IMAN CON VARILLA FLEXIBLE, IDEAL PARA RECOGER OBJETOS METALICOS PEQUEÑOS, SOPORTA HASTA 0.68 KG Y SE EXTIENDE HASTA 610 MM (24"")"; $8.900 ;
720031;IRIMO;"Extractor flexible con garras, cromado, 650 mmL. • Para agarre de piezas muy pequeñas.
• Eje flexible con el corazón de acero"; $4.990 ;
PZA7YX;FERRAWYY;Juego de 7 pinzas cromadas; $3.900 ;
YT1972;YATO;Tijera corta hojalata. 260mm.; $12.990 ;
YT1925;YATO;Tijera corta hojalata. 255mm.; $29.990 ;
YT1912;YATO;Tijera corta hojalata profesional. Mordazas de acero al cromo molibdeno/CrMo/forjadas, templadas a aproximadamente 60-62 HRC, templadas por inducción. Para cortar chapa de acero de hasta 1,5 mm de espesor y acero inoxidable de hasta 0,9 mm de espesor. Longitud total 260 mm.; $26.490 ;
YT1976;YATO;"Tijera multiuso 8"" 65mm"; $8.990 ;
YT19764;YATO;Tijera de seguridad. 190 mmL. Acero inxidable; $2.990 ;
6101380;SMART TOOLS;"Navaja con cierre bloqueador 3"" 76 mm, tipo electricista, hoja inoxidable, mango de aluminio confortable"; $8.250 ;
YT7527;YATO;Repuesto para corta cartón (10 hojas); $3.190 ;
YT75260;YATO;"Juego de 10 cuchillas para corta cartón
Acero SK2H ULTRA AFILADO
Dimensiones: 9x0,4 mm"; $3.990 ;
YT75261;YATO;"Juego de 10 cuchillas para corta cartón
Fabricadas en acero SK2H ULTRA AFILADO.
Dimensiones: 18x0,5 mm"; $4.790 ;
YT75262;YATO;"Juego de 10 cuchillas para corta cartón
Fabricadas en acero SK2
Dimensiones: 25x0,7 mm"; $6.790 ;
YT7502;YATO;"CORTA CARTÓN RETRACTIL CON CARCASA ABS-TPR DE 9 x 0,4 MM Y SEGURO.

CUCHILLA SK2, ANCHO DE 9 MM, GROSOR DE LA CUCHILLA: 0,4 MM, BLOQUEO AUTOMÁTICO, 3 PIEZAS DE CUCHILLA; CARCASA: ABS CON TPR"; $2.990 ;
YT7503;YATO;"CORTA CARTÓN RETRACTIL DE 18 x 0,5 MM Y SEGURO. 
CUCHILLA SK2"; $3.990 ;
YT75101;YATO;"CORTA CARTÓN RETRACTIL DE 25 x 0,7 MM Y SEGURO. 
CUCHILLA SK5"; $3.490 ;
HKNS28035;INGCO;Corta cartón retractil 18mm x 100mm con 3 hojas de repuesto; $1.990 ;
YT7523;YATO;Corta cartón 61 X 33 mm; $8.490 ;
YT7532;YATO;Corta cartón profesional con 6 repuestos; $8.490 ;
261051;TACTIX;CUCHILLO CARTONAJE RETRACTIL AUTOMATICO. Función retráctil automática permite que la hoja se retraiga automáticamente cuando se pierde el contacto con la superficie para mayor seguridad. Mango en D grande con agarre suave antideslizante para proteger las manos. 5 hojas de repuesto SK5 incluidas; $11.990 ;
668-150-1;IRIMO;"CUCHILLO CARTONERO AUTORRETRACTIL

-Cutter cuchilla trapezoidal de 18 mm
-Cuchilla autorretráctil para mayor seguridad
-Al soltar el botón la hoja se recoge automáticamente
-Recambio de hoja fácil
-Hoja trapezoidal estándar
-Tamaño hoja 18 mm
-Longitud 150 mm"; $8.490 ;
19008;IMP;CORTA TECALÁN; $9.990 ;
HMFK8158;INGCO;CORTAPLUMA MULTIFUNCION 15 APLICACIONES; $9.490 ;
YT76050;YATO;Cuchillo con mosquetón. 125 mm; $6.290 ;
YT76051;YATO;Cuchillo negro plegable 190 mm; $14.590 ;
YT76052;YATO;Cuchillo con hoja negra drop point, 95 mm de largo, hoja de dos piezas por fuera, recta por dentro, dentada aumentando el alcance de aplicación de la navaja, posibilidad de abrirla con una mano, bloqueo de cierre accidental, fuerte cuerpo de acero con forro ergonómico anodizado, en la parte posterior del mango cortador de cinturón de seguridad incorporado y martillo de ventana, clip de acero para cinturón; $18.890 ;
2820EF1;BAHCO;Navaja para electricista, plegable, mango de madera; $9.990 ;
672-220-1;IRIMO;"Cuchillo multiusos con hoja de acero inoxidable, 220 mm 

Cuchillo multiusos.
El cómodo mango proporciona un excelente agarre.
Se suministran con una práctica funda para llevarlos en el cinturón.
Cuchillos multiusos robustos con una hoja de acero inoxidable resistente.
Peso 140 grs
Longitud de la hoja 100 mm
Longitud total 220 mm"; $5.990 ;
YT7000;YATO;Engrapadora; $24.990 ;
YT7024;YATO;Grapas para corchetera. 1000 pcs.; $1.590 ;
94-806;CROSSMAN;"ENGRAPADORA CROSSMAN DE IMPACTO

Utiliza grapas CROSSMAN y STANLEY (1/4"" - 5/16"" - 3/8"")."; $84.990 ;
94-822;CROSSMAN;"GRAPA CROSSMAN 5/16"" CAJA 1.000 PZAS

Para engrapadora # 94-805 y # 94-806"; $7.490 ;
MMECAIS-340;X-SPARK;Martillo Mecánico Aislado 1000V. 340 gramos; $29.990 ;
YT20940;YATO;"Llave francesa aislada 1000 Volts. 8"" 200 mmL"; $92.990 ;
YT20941;YATO;"Llave francesa aislada 1000 Volts. 10"" 250 mmL"; $98.190 ;
YT20942;YATO;"Llave francesa aislada 1000 Volts. 12"" 300 mmL"; $124.990 ;
YT21151;YATO;"Alicate universal aislado 1000 Volts. 6"" 160 mmL"; $17.990 ;
YT21152;YATO;"Alicate universal aislado 1000 Volts. 7"" 180 mmL"; $19.990 ;
YT21153;YATO;"Alicate universal aislado 1000 Volts. 8"" 200 mmL"; $20.990 ;
YT21154;YATO;"Alicate punta aislado 1000 Volts. 6"" 160 mmL"; $16.990 ;
YT21155;YATO;"Alicate punta aislado 1000 Volts. 8"" 200 mmL"; $17.990 ;
YT21158;YATO;"Alicate cortante diagonal aislado 1000 Volts. 6"" 160 mmL"; $17.990 ;
YT21159;YATO;"Alicate cortante diagonal aislado 1000 Volts. 7"" 180 mmL"; $18.990 ;
HIWSP28160;INGCO;"Alicate pelacable aislado 1000 Volts. 6"" 160 mmL."; $12.500 ;
YT21161;YATO;"Alicate pico de loro aislado 1000 Volts. 10"" 250 mmL. "; $27.490 ;
HIKPS28318;INGCO;"JUEGO DE 3 ALICATES AISLADOS 1000V INDUSTRIAL

Alicate universal 8""
Alicate punta larga 6""
Alicate corte diagonal 6"""; $34.990 ;
HKIST3061;INGCO;"JUEGO DE 6 HERRAMIENTAS MANUALES AISLADAS

Alicate aislado univ 7""
Alicate aislado corte diagonal 6""
Atornillador PH2x100mm
Atornillador paleta 4x100mm - 5.5x125mm
Atornillador buscapolos 100-500VAC"; $31.990 ;
YT39620;YATO;Estuche con alicates aislados,  1000 Volts. 4pzas.  Incluye: Universal, punta, cortante y pelacables.; $79.990 ;
YT39630;YATO;"Estuche con herramientas aisladas,  1000 Volts. 8pzas. Incluye alicates universal 7"", punta 6"", cortante 6"" y pelacables 6"". Destornilladores paleta y cruz (PH1x80mm, PH2x100mm, 4.0x100mm, 5,5x125mm) y tester. Made in Germany."; $179.990 ;
YT39009;YATO;Maleta de herramientas eléctricas. 68 piezas; $169.990 ;
HKIPSD0601;INGCO;"JUEGO DE DESTORNILLADOR DE PRECISION AISLADOS 1000V, 6 PIEZAS

Destornillador Paleta: 1,5x0,23x50mm, 2×0,40x50mm, 2,5×0,40x50mm, 3x0,50x50mm
Destornillador Cruz: PH00×50 mm, PH0×50mm
1000V, certificación VDE/GS
Bolsa de Lona"; $18.490 ;
HKISD0701;INGCO;"Juego de 7 destornilladores punta dado aislados 1000 Volts
Caracteristicas:
Superficie Completamente Aislada.
Cuerpo mecanizado de precisión.
Todos los destornilladores fueron probados para cumplir con los estándares IEC60900
Cada Destornillador está clasificado para una protección de CA de hasta 1000V
Hecho de CRV (acero al cromo-vanadio)
El mango anti balanceo tiene un agarre suave y ergonómico
Empuñadura de Inyección Aislada Bicolor
Características Técnicas:
Hecho de cromo y vanadio de acero
Producto clasificado para hasta AC1000V
VDE / GS certificado
Fabricado según EN60900
SET Incluye Destornilladoes Punta dado Hexagonal en medidas de:
6 x 125 mm.
7 x 125 mm.
8 x 125 mm.
9 x 125 mm.
10 x 125 mm.
11 x 125 mm.
12 x 125 mm."; $59.900 ;
HKTV01P051;INGCO;"JUEGO DE 5 HERRAMIENTAS AISLADAS

Caja plástica
Alicate universal 7""
Alicate corte diagonal 6""
Alicate Punta larga 6""
Alicate pelacable 6""
Atornillador buscapolos 100-500VAC"; $54.900 ;
HKITH1601;INGCO;"Juego de 16 herramientas aisladas 1000 V, certificación VDE / GS
Incluye:
Alicates combinados aislados de 1 pieza de 200 mm;
Alicates de punta larga aislados de 1 pieza de 200 mm;
Alicates de corte diagonal aislados de 1 pieza de 160 mm;
Alicates pelacables aislados de 1 pieza de 160 mm;
Destornilladores ranurados aislados de 4 piezas: SL3x75mm; SL4.0x100mm; SL5.5x125mm; SL6.5x150mm;
Destornilladores Phillips aislados de 5 piezas: PH00x50mm; PH0x60mm; PH1x80mm; PH2x100mm; PH3x150mm;
Probador de voltaje 1Pcs 30x70mm;
1 cuchillo de cable de 50x180mm;
1 cinta aislante de vinilo."; $129.900 ;
HKITH2601;INGCO;"Juego de 26 herramientas manuales aisladas 1000 V, Certificación VDE/GS
Aislada a 1.000 Volts bajo normas VDE / GS
Fabricada bajo normas IEC60900
Contenido:
Alicates combinados aislados de 180 mm;
Alicates de punta larga aislados de 160 mm;
Alicates de corte diagonal aislados de 160 mm;
Destornilladores ranurados aislados de 3 piezas:
SL3.0 x 75 mm;
SL4.0 x 100mm;
SL5.5 x 125mm;
Destornilladores Phillips aislados de 2 piezas:
PH1 x 80 mm;
PH2 x 100 mm;
1 Chicharra encastre de 1/2?
2 barra de extension de;
1/2? x 125 mm.,
1/2? x 250 mm.
14 Dados Hexagonales Aislados toma de 1/2?:
10 mm, 11 mm, 12 mm,
13 mm, 14 mm, 16 mm,
17 mm, 18 mm, 19 mm,
22 mm, 24 mm, 27 mm,
30 mm, 32 mm,
1 Llave Francesa Aislada de 8? (200 mm.)
Embalaje en Maleta con Espuma
Peso: 3.0 Kilos."; $399.900 ;
HKISPA0701;INGCO;"Juego de 7 llaves de punta aisladas
1000 V, certificación VDE / GS
Incluye:
8 mm, 10 mm, 12 mm, 13 mm, 14 mm, 17 mm, 19 mm;"; $79.900 ;
HKISPA0702;INGCO;"Juego de 7 llaves corona acodadas aisladas
1000 V, certificación VDE / GS
Incluye:
8 mm, 10 mm, 12 mm, 13 mm, 14 mm, 17 mm, 19 mm"; $92.500 ;
HKISPA0603;INGCO;"Juego de 6 llaves corona chicharra aisladas
1000 V, certificación VDE / GS
Incluye:
10 mm, 12 mm, 14 mm, 15 mm, 17 mm, 19 mm;"; $149.900 ;
HIRTH121;INGCO;"Chicharra cuadrante de 1/2"" aislada
1000 V, certificación VDE / GS
Tamaño: 1/2"" 36 dientes
Longitud: 250 mm
Material: CR-V + Cr-Mo
Fabricado según EN60900"; $74.900 ;
